mu	I	recN
      -3 	     0.99	 1
    -3.5 	     0.92	 1
      -4 	     0.84	 1
    -4.5 	     0.61	 1
      -5 	     0.31	 1
    -5.5 	      0.1	 1
      -6 	     0.04	 1
    -6.5 	     0.02	 1
      -9 	     0.01	 1
      -3 	     0.98	 1
    -3.5 	     0.81	 1
      -4 	      0.8	 1
    -4.5 	     0.63	 1
      -5 	     0.32	 1
    -5.5 	     0.11	 1
      -6 	     0.04	 1
    -6.5 	     0.02	 1
      -9 	     0.01	 1
      -3 	     0.95	 1
    -3.5 	     0.88	 1
      -4 	     0.87	 1
    -4.5 	     0.69	 1
      -5 	     0.35	 1
    -5.5 	     0.11	 1
      -6 	     0.04	 1
    -6.5 	     0.02	 1
      -9 	     0.02	 1
      -3 	     0.93	 1
    -3.5 	      0.9	 1
      -4 	     0.82	 1
    -4.5 	     0.64	 1
      -5 	     0.36	 1
    -5.5 	     0.13	 1
      -6 	     0.04	 1
    -6.5 	     0.02	 1
      -9 	     0.02	 1
      -3 	     0.61	 2
    -3.5 	     0.56	 2
      -4 	     0.41	 2
    -4.5 	     0.25	 2
      -5 	     0.11	 2
    -5.5 	     0.09	 2
      -6 	     0.08	 2
    -6.5 	     0.08	 2
      -9 	     0.07	 2
      -3 	     0.59	 2
    -3.5 	     0.56	 2
      -4 	     0.48	 2
    -4.5 	     0.25	 2
      -5 	     0.12	 2
    -5.5 	     0.09	 2
      -6 	     0.09	 2
    -6.5 	     0.08	 2
      -9 	     0.08	 2
      -3 	     0.65	 2
    -3.5 	     0.64	 2
      -4 	     0.46	 2
    -4.5 	     0.26	 2
      -5 	     0.14	 2
    -5.5 	      0.1	 2
      -6 	     0.09	 2
    -6.5 	     0.09	 2
      -9 	     0.08	 2
      -3 	     0.62	 2
    -3.5 	      0.6	 2
      -4 	      0.5	 2
    -4.5 	     0.24	 2
      -5 	     0.13	 2
    -5.5 	      0.1	 2
      -6 	     0.08	 2
    -6.5 	     0.08	 2
      -9 	     0.08	 2
      -3 	     0.94	 3
    -3.5 	     0.73	 3
      -4 	     0.74	 3
    -4.5 	     0.51	 3
      -5 	     0.33	 3
    -5.5 	      0.2	 3
      -6 	     0.07	 3
    -6.5 	     0.02	 3
      -9 	     0.01	 3
      -3 	     0.93	 3
    -3.5 	     0.86	 3
      -4 	     0.83	 3
    -4.5 	     0.54	 3
      -5 	     0.37	 3
    -5.5 	     0.17	 3
      -6 	     0.07	 3
    -6.5 	     0.02	 3
      -9 	     0.01	 3
      -3 	     0.96	 3
    -3.5 	     0.85	 3
      -4 	      0.7	 3
    -4.5 	     0.63	 3
      -5 	     0.45	 3
    -5.5 	     0.16	 3
      -6 	     0.08	 3
    -6.5 	     0.02	 3
      -9 	     0.01	 3
      -3 	     0.86	 3
    -3.5 	     0.86	 3
      -4 	     0.69	 3
    -4.5 	     0.51	 3
      -5 	     0.41	 3
    -5.5 	      0.2	 3
      -6 	     0.06	 3
    -6.5 	     0.02	 3
      -9 	     0.01	 3
      -5     0.88 4
    -5.5     0.68 4
      -6     0.48 4
    -6.5     0.26 4
      -7     0.15 4
    -7.5      0.1 4
      -8     0.08 4
    -8.5     0.07 4
      -9     0.06 4
      -5     0.75 4
    -5.5     0.61 4
      -6     0.51 4
    -6.5     0.27 4
      -7     0.14 4
    -7.5      0.1 4
      -8     0.09 4
    -8.5     0.07 4
      -9     0.08 4
      -5     0.96 4
    -5.5      0.8 4
      -6     0.62 4
    -6.5     0.34 4
      -7     0.16 4
    -7.5     0.11 4
      -8     0.09 4
    -8.5     0.08 4
      -9     0.09 4
      -5     0.89 4
    -5.5     0.73 4
      -6     0.59 4
    -6.5     0.32 4
      -7     0.15 4
    -7.5     0.12 4
      -8      0.1 4
    -8.5     0.08 4
      -9     0.08 4
