mu	I	recN
      -3 	     0.76	 1
    -3.5 	     0.72	 1
      -4 	     0.53	 1
    -4.5 	      0.4	 1
      -5 	     0.29	 1
    -5.5 	     0.08	 1
      -6 	     0.03	 1
    -6.5 	     0.02	 1
      -9 	     0.02	 1
      -3 	     0.69	 1
    -3.5 	     0.79	 1
      -4 	     0.58	 1
    -4.5 	     0.43	 1
      -5 	     0.24	 1
    -5.5 	     0.09	 1
      -6 	     0.03	 1
    -6.5 	     0.01	 1
      -9 	     0.02	 1
      -3 	     0.64	 1
    -3.5 	     0.79	 1
      -4 	     0.61	 1
    -4.5 	     0.48	 1
      -5 	     0.26	 1
    -5.5 	     0.09	 1
      -6 	     0.03	 1
    -6.5 	     0.02	 1
      -9 	     0.02	 1
      -3 	     0.76	 1
    -3.5 	     0.73	 1
      -4 	     0.63	 1
    -4.5 	     0.42	 1
      -5 	     0.22	 1
    -5.5 	     0.09	 1
      -6 	     0.03	 1
    -6.5 	     0.02	 1
      -9 	     0.02	 1
