Prm	Val	OnOff	Ind
ddG	-6.69	1	1
A	0.994	1	1
B	0.015	1	1

ddG	-6.29	1	2
A	0.74	1	2
B	0.014	1	2

ddG	-6.16	1	3
A	0.51	1	3
B	0.008	1	3

ddG	-7.42	1	4
A	0.008	1	4
B	0.006	1	4

ddG	-5.64	1	5
A	0.81	1	5
B	0.11	1	5

ddG	-5.36	1	6
A	0.94	1	6
B	0.069	1	6

ddG	-5.36	1	7
A	0.55	1	7
B	0.111	1	7

ddG	-8.2	1	8
A	0.18	1	8
B	0.1	1	8

ddG	-6.21	1	9
A	0.85	1	9
B	0.02	1	9

ddG	-6.6	1	10
A	0.83	1	10
B	0.04	1	10

ddG	-5.6	1	11
A	0.43	1	11
B	0.007	1	11

ddG	-7.4	1	12
A	0.02	1	12
B	0.01	1	12

ddG	-7.69	1	13
A	0.82	1	13
B	0.094	1	13

ddG	-8.48	1	14
A	0.85	1	14
B	0.08	1	14

ddG	-8	1	15
A	0.89	1	15
B	0.11	1	15

ddG	-10.3	1	16
A	0.01	1	16
B	0.05	1	16

sigma	0.032399	1	1
sigma	0.032602	1	2
sigma	0.050816	1	3
sigma	0.045897	1	4
